x,T,Flux
0,1,0.0039071
1,0.962542,0.0039071
2,0.928064,0.00390711
3,0.896126,0.00390711
4,0.866379,0.00390712
5,0.838542,0.00390712
6,0.812384,0.00390713
7,0.787713,0.00390714
8,0.76437,0.00390715
9,0.742219,0.00390716
10,0.721144,0.00390717
11,0.701045,0.00390718
12,0.681835,0.00390719
13,0.66344,0.00390721
14,0.645793,0.00390722
15,0.628835,0.00390724
16,0.612516,0.00390725
17,0.596787,0.00390727
18,0.581609,0.00390728
19,0.566943,0.0039073
20,0.552756,0.00390732
21,0.539019,0.00390733
22,0.525703,0.00390735
23,0.512783,0.00390737
24,0.500237,0.00390738
25,0.488043,0.0039074
26,0.476182,0.00390742
27,0.464637,0.00390744
28,0.45339,0.00390746
29,0.442428,0.00390747
30,0.431736,0.00390749
31,0.4213,0.00390751
32,0.41111,0.00390753
33,0.401153,0.00390755
34,0.391419,0.00390756
35,0.381899,0.00390758
36,0.372583,0.0039076
37,0.363463,0.00390762
38,0.35453,0.00390764
39,0.345777,0.00390765
40,0.337198,0.00390767
41,0.328784,0.00390769
42,0.320531,0.00390771
43,0.312431,0.00390772
44,0.30448,0.00390774
45,0.296672,0.00390776
46,0.289001,0.00390778
47,0.281464,0.00390779
48,0.274055,0.00390781
49,0.266771,0.00390782
50,0.259607,0.00390784
51,0.252559,0.00390786
52,0.245623,0.00390787
53,0.238797,0.00390789
54,0.232076,0.0039079
55,0.225458,0.00390791
56,0.218939,0.00390793
57,0.212516,0.00390794
58,0.206187,0.00390796
59,0.199949,0.00390797
60,0.193799,0.00390798
61,0.187735,0.003908
62,0.181755,0.00390801
63,0.175856,0.00390802
64,0.170036,0.00390803
65,0.164293,0.00390804
66,0.158624,0.00390805
67,0.153029,0.00390807
68,0.147505,0.00390808
69,0.142051,0.00390809
70,0.136664,0.0039081
71,0.131343,0.00390811
72,0.126086,0.00390811
73,0.120892,0.00390812
74,0.11576,0.00390813
75,0.110688,0.00390814
76,0.105674,0.00390815
77,0.100717,0.00390816
78,0.0958165,0.00390816
79,0.0909706,0.00390817
80,0.0861781,0.00390818
81,0.0814378,0.00390818
82,0.0767488,0.00390819
83,0.0721099,0.00390819
84,0.06752,0.0039082
85,0.0629781,0.0039082
86,0.0584832,0.00390821
87,0.0540343,0.00390821
88,0.0496306,0.00390822
89,0.0452711,0.00390822
90,0.0409549,0.00390822
91,0.0366811,0.00390823
92,0.0324491,0.00390823
93,0.0282578,0.00390823
94,0.0241067,0.00390823
95,0.0199948,0.00390824
96,0.0159215,0.00390824
97,0.0118861,0.00390824
98,0.00788779,0.00390824
99,0.00392599,0.00390824
100,0,0.00390824
