x_idx,y_idx,T,qx,qy
0,0,0.571445,0.0452235,0
0,1,0.650012,-0.00166218,0
0,2,0.67889,-0.000222676,0
0,3,0.693699,-6.56505e-06,0
0,4,0.701618,-6.99376e-05,0
0,5,0.705654,-0.000187027,0
0,6,0.707278,-0.000301506,0
0,7,0.707296,-0.000400685,0
0,8,0.70619,-0.000483625,0
0,9,0.704266,-0.000552358,0
0,10,0.701728,-0.000609362,0
0,11,0.698717,-0.000656866,0
0,12,0.695337,-0.000696704,0
0,13,0.69166,-0.000730342,0
0,14,0.687743,-0.000758939,0
0,15,0.683629,-0.00078341,0
0,16,0.679352,-0.000804479,0
0,17,0.674937,-0.000822724,0
0,18,0.670405,-0.000838607,0
0,19,0.665775,-0.000852502,0
0,20,0.661059,-0.000864712,0
0,21,0.65627,-0.000875486,0
0,22,0.651416,-0.000885027,0
0,23,0.646506,-0.000893506,0
0,24,0.641547,-0.000901062,0
0,25,0.636545,-0.000907815,0
0,26,0.631504,-0.000913865,0
0,27,0.626429,-0.000919294,0
0,28,0.621324,-0.000924175,0
0,29,0.616191,-0.00092857,0
0,30,0.611034,-0.00093253,0
0,31,0.605855,-0.0009361,0
0,32,0.600657,-0.00093932,0
0,33,0.595441,-0.000942223,0
0,34,0.590209,-0.000944838,0
0,35,0.584962,-0.00094719,0
0,36,0.579703,-0.000949301,0
0,37,0.574433,-0.00095119,0
0,38,0.569151,-0.000952875,0
0,39,0.563861,-0.000954368,0
0,40,0.558562,-0.000955683,0
0,41,0.553256,-0.00095683,0
0,42,0.547943,-0.000957818,0
0,43,0.542625,-0.000958655,0
0,44,0.537302,-0.000959348,0
0,45,0.531974,-0.000959901,0
0,46,0.526642,-0.000960319,0
0,47,0.521308,-0.000960604,0
0,48,0.515971,-0.00096076,0
0,49,0.510632,-0.000960786,0
0,50,0.505292,-0.000960684,0
0,51,0.499952,-0.000960451,0
0,52,0.494611,-0.000960088,0
0,53,0.489271,-0.00095959,0
0,54,0.483932,-0.000958954,0
0,55,0.478594,-0.000958176,0
0,56,0.473259,-0.000957249,0
0,57,0.467927,-0.000956166,0
0,58,0.462598,-0.000954919,0
0,59,0.457273,-0.000953496,0
0,60,0.451953,-0.000951887,0
0,61,0.446639,-0.000950078,0
0,62,0.441331,-0.000948053,0
0,63,0.43603,-0.000945794,0
0,64,0.430737,-0.000943279,0
0,65,0.425454,-0.000940484,0
0,66,0.42018,-0.000937382,0
0,67,0.414918,-0.000933939,0
0,68,0.409668,-0.000930119,0
0,69,0.404432,-0.000925879,0
0,70,0.399211,-0.000921166,0
0,71,0.394008,-0.000915923,0
0,72,0.388824,-0.00091008,0
0,73,0.383661,-0.000903555,0
0,74,0.378521,-0.000896251,0
0,75,0.373408,-0.000888054,0
0,76,0.368325,-0.000878826,0
0,77,0.363275,-0.0008684,0
0,78,0.358262,-0.000856576,0
0,79,0.353292,-0.000843107,0
0,80,0.348369,-0.000827692,0
0,81,0.343501,-0.000809955,0
0,82,0.338694,-0.000789424,0
0,83,0.333959,-0.000765504,0
0,84,0.329306,-0.000737431,0
0,85,0.324749,-0.000704214,0
0,86,0.320304,-0.000664548,0
0,87,0.315991,-0.000616692,0
0,88,0.311834,-0.000558273,0
0,89,0.307866,-0.000486002,0
0,90,0.304127,-0.000395201,0
0,91,0.300669,-0.000279044,0
0,92,0.29756,-0.00012724,0
0,93,0.294895,7.63327e-05,0
0,94,0.292802,0.000358161,0
0,95,0.291463,0.000764432,0
0,96,0.291141,0.00138214,0
0,97,0.292234,0.00239251,0
0,98,0.295341,0.00422644,0
0,99,0.30135,0.00809162,0
0,100,0.150829,0.0765641,0
1,0,0.741933,0.043989,-0.0408919
1,1,0.717018,-0.00856748,0.00530209
1,2,0.707249,-0.00451752,0.000569201
1,3,0.707931,-0.00255501,-0.000243657
1,4,0.709713,-0.00154402,-0.000237443
1,5,0.7107,-0.000985463,-7.82097e-05
1,6,0.710651,-0.000656513,8.58226e-05
1,7,0.709682,-0.000452024,0.000224939
1,8,0.70796,-0.000319104,0.00033739
1,9,0.705636,-0.00022947,0.000427385
1,10,0.702829,-0.000167153,0.000499617
1,11,0.699633,-0.000122707,0.000558034
1,12,0.696122,-9.03103e-05,0.00060571
1,13,0.692351,-6.62536e-05,0.000644987
1,14,0.688366,-4.80996e-05,0.000677641
1,15,0.684202,-3.42054e-05,0.000705021
1,16,0.679887,-2.34386e-05,0.000728164
1,17,0.675444,-1.50024e-05,0.000747869
1,18,0.670892,-8.32651e-06,0.000764761
1,19,0.666245,-2.99604e-06,0.000779332
1,20,0.661517,1.29518e-06,0.000791972
1,21,0.656719,4.77597e-06,0.000802995
1,22,0.651858,7.6194e-06,0.000812652
1,23,0.646943,9.95776e-06,0.00082115
1,24,0.64198,1.18932e-05,0.000828658
1,25,0.636975,1.35052e-05,0.000835315
1,26,0.631932,1.48565e-05,0.000841235
1,27,0.626855,1.59963e-05,0.000846517
1,28,0.621748,1.69643e-05,0.00085124
1,29,0.616615,1.77922e-05,0.000855473
1,30,0.611457,1.85057e-05,0.000859274
1,31,0.606278,1.91256e-05,0.000862693
1,32,0.601079,1.96692e-05,0.000865772
1,33,0.595863,2.01504e-05,0.000868547
1,34,0.590631,2.05812e-05,0.000871049
1,35,0.585384,2.09712e-05,0.000873306
1,36,0.580125,2.13288e-05,0.00087534
1,37,0.574854,2.1661e-05,0.000877172
1,38,0.569573,2.19737e-05,0.000878819
1,39,0.564282,2.22723e-05,0.000880297
