x,T,Flux
0,0.481452,0.005
1,0.476455,0.00499542
2,0.471461,0.00499085
3,0.466473,0.00498628
4,0.461488,0.00498171
5,0.45651,0.00497714
6,0.451534,0.00497258
7,0.446565,0.00496803
8,0.441598,0.00496348
9,0.436638,0.00495895
10,0.43168,0.00495442
11,0.426729,0.00494991
12,0.42178,0.0049454
13,0.416838,0.00494092
14,0.411898,0.00493644
15,0.406965,0.00493199
16,0.402034,0.00492754
17,0.39711,0.00492312
18,0.392188,0.00491871
19,0.387273,0.00491433
20,0.38236,0.00490996
21,0.377453,0.00490563
22,0.372548,0.0049013
23,0.36765,0.00489702
24,0.362754,0.00489274
25,0.357865,0.00488851
26,0.352977,0.00488428
27,0.348096,0.00488011
28,0.343217,0.00487594
29,0.338344,0.00487182
30,0.333473,0.00486772
31,0.328609,0.00486367
32,0.323746,0.00485963
33,0.318889,0.00485565
34,0.314035,0.00485168
35,0.309186,0.00484777
36,0.304339,0.00484388
37,0.299498,0.00484004
38,0.294659,0.00483623
39,0.289826,0.00483247
40,0.284994,0.00482874
41,0.280168,0.00482507
42,0.275344,0.00482142
43,0.270525,0.00481784
44,0.265708,0.00481428
45,0.260897,0.00481078
46,0.256087,0.00480732
47,0.251282,0.00480392
48,0.246479,0.00480055
49,0.241681,0.00479725
50,0.236884,0.00479397
51,0.232093,0.00479078
52,0.227303,0.0047876
53,0.222518,0.00478451
54,0.217734,0.00478144
55,0.212955,0.00477846
56,0.208177,0.0047755
57,0.203404,0.00477262
58,0.198632,0.00476978
59,0.193864,0.00476701
60,0.189098,0.00476428
61,0.184335,0.00476163
62,0.179574,0.00475902
63,0.174817,0.00475649
64,0.170061,0.00475399
65,0.165309,0.00475159
66,0.160558,0.00474921
67,0.155811,0.00474693
68,0.151064,0.00474467
69,0.146321,0.00474252
70,0.141579,0.00474039
71,0.13684,0.00473836
72,0.132103,0.00473636
73,0.127368,0.00473446
74,0.122634,0.0047326
75,0.117902,0.00473083
76,0.113172,0.0047291
77,0.108444,0.00472746
78,0.103717,0.00472586
79,0.0989923,0.00472436
80,0.0942683,0.00472289
81,0.0895464,0.00472153
82,0.0848252,0.0047202
83,0.0801059,0.00471898
84,0.0753872,0.00471779
85,0.0706703,0.0047167
86,0.0659538,0.00471565
87,0.0612389,0.00471471
88,0.0565244,0.0047138
89,0.0518112,0.00471299
90,0.0470984,0.00471222
91,0.0423867,0.00471156
92,0.0376753,0.00471093
93,0.0329647,0.00471041
94,0.0282545,0.00470993
95,0.0235448,0.00470955
96,0.0188353,0.00470921
97,0.0141263,0.00470898
98,0.00941739,0.00470878
99,0.00470867,0.00470869
100,0,0.00470863
