x,T,Flux
0,1,-0.00243487
1,1.00954,-0.0023349
2,1.01868,-0.00223499
3,1.02742,-0.00213515
4,1.03576,-0.00203538
5,1.0437,-0.00193567
6,1.05125,-0.00183602
7,1.05839,-0.00173643
8,1.06514,-0.00163691
9,1.07149,-0.00153745
10,1.07744,-0.00143805
11,1.08299,-0.00133872
12,1.08815,-0.00123944
13,1.09291,-0.00114022
14,1.09727,-0.00104106
15,1.10123,-0.000941965
16,1.1048,-0.000842923
17,1.10798,-0.000743936
18,1.11076,-0.000645005
19,1.11314,-0.000546129
20,1.11512,-0.000447305
21,1.11672,-0.000348534
22,1.11791,-0.000249813
23,1.11872,-0.000151142
24,1.11912,-5.25193e-05
25,1.11914,4.60568e-05
26,1.11875,0.000144587
27,1.11798,0.000243074
28,1.11681,0.000341518
29,1.11525,0.000439921
30,1.11329,0.000538285
31,1.11094,0.000636611
32,1.1082,0.000734901
33,1.10506,0.000833156
34,1.10153,0.000931379
35,1.09761,0.00102957
36,1.0933,0.00112773
37,1.08859,0.00122587
38,1.08349,0.00132398
39,1.078,0.00142206
40,1.07211,0.00152013
41,1.06584,0.00161817
42,1.05917,0.0017162
43,1.05211,0.00181421
44,1.04465,0.0019122
45,1.03681,0.00201019
46,1.02857,0.00210816
47,1.01994,0.00220613
48,1.01092,0.00230409
49,1.00151,0.00240205
50,0.991706,0.0025
51,0.98151,0.00259795
52,0.970922,0.00269591
53,0.959943,0.00279387
54,0.948571,0.00289184
55,0.936808,0.00298981
56,0.924653,0.0030878
57,0.912106,0.00318579
58,0.899167,0.0032838
59,0.885835,0.00338183
60,0.872112,0.00347987
61,0.857996,0.00357794
62,0.843488,0.00367602
63,0.828588,0.00377413
64,0.813295,0.00387227
65,0.79761,0.00397043
66,0.781532,0.00406862
67,0.765061,0.00416684
68,0.748197,0.0042651
69,0.73094,0.00436339
70,0.71329,0.00446172
71,0.695246,0.00456008
72,0.676809,0.00465848
73,0.657979,0.00475693
74,0.638754,0.00485541
75,0.619135,0.00495394
76,0.599122,0.00505252
77,0.578715,0.00515114
78,0.557913,0.00524981
79,0.536717,0.00534853
80,0.515125,0.00544731
81,0.493138,0.00554613
82,0.470756,0.00564501
83,0.447978,0.00574394
84,0.424804,0.00584292
85,0.401235,0.00594197
86,0.377269,0.00604106
87,0.352906,0.00614022
88,0.328147,0.00623944
89,0.302991,0.00633872
90,0.277437,0.00643805
91,0.251486,0.00653745
92,0.225137,0.00663691
93,0.198391,0.00673643
94,0.171246,0.00683602
95,0.143703,0.00693567
96,0.11576,0.00703538
97,0.0874195,0.00713515
98,0.0586792,0.00723499
99,0.0295395,0.0073349
100,0,0.00743487
