x,T,Flux
0,0,-0.00249281
1,0.00997122,-0.00249281
2,0.0199425,-0.00249282
3,0.0299138,-0.00249284
4,0.0398852,-0.00249286
5,0.0498567,-0.00249289
6,0.0598283,-0.00249293
7,0.0698001,-0.00249298
8,0.0797722,-0.00249303
9,0.0897444,-0.00249309
10,0.0997169,-0.00249316
11,0.10969,-0.00249323
12,0.119663,-0.00249331
13,0.129636,-0.0024934
14,0.13961,-0.00249349
15,0.149584,-0.00249359
16,0.159559,-0.0024937
17,0.169534,-0.00249381
18,0.179509,-0.00249393
19,0.189485,-0.00249405
20,0.199461,-0.00249418
21,0.209438,-0.00249431
22,0.219416,-0.00249446
23,0.229394,-0.0024946
24,0.239373,-0.00249476
25,0.249352,-0.00249491
26,0.259332,-0.00249507
27,0.269313,-0.00249524
28,0.279294,-0.00249541
29,0.289276,-0.00249559
30,0.299259,-0.00249577
31,0.309242,-0.00249596
32,0.319226,-0.00249614
33,0.329211,-0.00249634
34,0.339197,-0.00249653
35,0.349184,-0.00249673
36,0.359171,-0.00249694
37,0.369159,-0.00249714
38,0.379148,-0.00249735
39,0.389138,-0.00249756
40,0.399129,-0.00249778
41,0.40912,-0.00249799
42,0.419113,-0.00249821
43,0.429106,-0.00249843
44,0.4391,-0.00249865
45,0.449095,-0.00249887
46,0.459091,-0.0024991
47,0.469088,-0.00249932
48,0.479086,-0.00249955
49,0.489084,-0.00249977
50,0.499084,-0.0025
51,0.509084,-0.00250023
52,0.519086,-0.00250045
53,0.529088,-0.00250068
54,0.539091,-0.0025009
55,0.549095,-0.00250113
56,0.5591,-0.00250135
57,0.569106,-0.00250157
58,0.579113,-0.00250179
59,0.58912,-0.00250201
60,0.599129,-0.00250222
61,0.609138,-0.00250244
62,0.619148,-0.00250265
63,0.629159,-0.00250286
64,0.639171,-0.00250306
65,0.649184,-0.00250327
66,0.659197,-0.00250347
67,0.669211,-0.00250366
68,0.679226,-0.00250386
69,0.689242,-0.00250404
70,0.699259,-0.00250423
71,0.709276,-0.00250441
72,0.719294,-0.00250459
73,0.729313,-0.00250476
74,0.739332,-0.00250493
75,0.749352,-0.00250509
76,0.759373,-0.00250524
77,0.769394,-0.0025054
78,0.779416,-0.00250554
79,0.789438,-0.00250569
80,0.799461,-0.00250582
81,0.809485,-0.00250595
82,0.819509,-0.00250607
83,0.829534,-0.00250619
84,0.839559,-0.0025063
85,0.849584,-0.00250641
86,0.85961,-0.00250651
87,0.869636,-0.0025066
88,0.879663,-0.00250669
89,0.88969,-0.00250677
90,0.899717,-0.00250684
91,0.909744,-0.00250691
92,0.919772,-0.00250697
93,0.9298,-0.00250702
94,0.939828,-0.00250707
95,0.949857,-0.00250711
96,0.959885,-0.00250714
97,0.969914,-0.00250716
98,0.979942,-0.00250718
99,0.989971,-0.00250719
100,1,-0.00250719
